,Open,High,Low,Close,Adj Close,Volume,Date,Company
176,402.339996,421.01001,400.01001,420.649994,420.649994,1067500.0,2022-03-16,ALGN
177,417.660004,427.350006,414.01001,425.480011,425.480011,626200.0,2022-03-17,ALGN
178,426.01001,444.230011,421.070007,442.869995,442.869995,1066600.0,2022-03-18,ALGN
179,436.429993,446.790009,423.920013,432.470001,432.470001,664100.0,2022-03-21,ALGN
180,434.809998,461.790009,434.809998,457.029999,457.029999,919200.0,2022-03-22,ALGN
181,451.220001,452.73999,435.769989,437.059998,437.059998,622600.0,2022-03-23,ALGN
182,438.850006,438.850006,422.200012,436.26001,436.26001,794100.0,2022-03-24,ALGN
183,439.049988,439.98999,418.670013,430.440002,430.440002,678900.0,2022-03-25,ALGN
184,435.079987,438.309998,426.589996,434.0,434.0,546700.0,2022-03-28,ALGN
185,442.570007,458.25,441.420013,452.940002,452.940002,821900.0,2022-03-29,ALGN
186,449.649994,450.320007,437.970001,442.170013,442.170013,494100.0,2022-03-30,ALGN
187,444.959991,451.609985,435.779999,436.0,436.0,696300.0,2022-03-31,ALGN
188,439.420013,448.130005,438.950012,446.410004,446.410004,693200.0,2022-04-01,ALGN
189,445.429993,451.190002,439.220001,445.390015,445.390015,537400.0,2022-04-04,ALGN
190,446.869995,446.869995,434.579987,436.799988,436.799988,614200.0,2022-04-05,ALGN
191,429.660004,429.660004,412.690002,421.73999,421.73999,708200.0,2022-04-06,ALGN
192,418.790009,426.700012,415.130005,422.179993,422.179993,541600.0,2022-04-07,ALGN
193,418.980011,426.630005,411.429993,420.559998,420.559998,514400.0,2022-04-08,ALGN
194,414.0,425.429993,408.850006,409.690002,409.690002,689700.0,2022-04-11,ALGN
195,414.059998,430.440002,401.079987,406.230011,406.230011,570000.0,2022-04-12,ALGN
196,409.019989,420.179993,407.01001,416.910004,416.910004,442500.0,2022-04-13,ALGN
197,416.0,417.869995,407.369995,409.820007,409.820007,458000.0,2022-04-14,ALGN
198,408.019989,409.660004,401.209991,405.880005,405.880005,435800.0,2022-04-18,ALGN
199,403.170013,426.709991,403.01001,424.540009,424.540009,711700.0,2022-04-19,ALGN
200,427.779999,431.269989,418.200012,419.179993,419.179993,626300.0,2022-04-20,ALGN
201,421.73999,425.029999,382.309998,383.630005,383.630005,927200.0,2022-04-21,ALGN
202,380.570007,381.600006,360.170013,360.570007,360.570007,1235800.0,2022-04-22,ALGN
203,363.450012,371.160004,354.859985,368.859985,368.859985,1065700.0,2022-04-25,ALGN
204,363.220001,365.540009,353.929993,361.299988,361.299988,1143900.0,2022-04-26,ALGN
205,365.019989,378.980011,357.220001,360.429993,360.429993,1299500.0,2022-04-27,ALGN
206,282.0,306.959991,270.369995,304.660004,304.660004,4212100.0,2022-04-28,ALGN
207,303.329987,319.089996,288.880005,289.910004,289.910004,1758600.0,2022-04-29,ALGN
208,292.480011,310.970001,288.019989,308.880005,308.880005,1683000.0,2022-05-02,ALGN
209,304.019989,311.920013,297.049988,301.019989,301.019989,1077800.0,2022-05-03,ALGN
210,300.029999,311.619995,286.700012,310.890015,310.890015,1118300.0,2022-05-04,ALGN
211,305.790009,309.0,280.049988,283.720001,283.720001,1584500.0,2022-05-05,ALGN
212,285.850006,286.339996,271.529999,280.410004,280.410004,1243700.0,2022-05-06,ALGN
213,274.220001,277.670013,265.299988,268.959991,268.959991,1308000.0,2022-05-09,ALGN
214,273.5,279.600006,254.479996,258.130005,258.130005,2246600.0,2022-05-10,ALGN
215,258.769989,269.589996,255.0,256.109985,256.109985,1037500.0,2022-05-11,ALGN
216,253.820007,265.399994,250.639999,259.529999,259.529999,1200500.0,2022-05-12,ALGN
217,264.420013,276.839996,264.420013,275.519989,275.519989,1112500.0,2022-05-13,ALGN
218,274.660004,281.619995,270.119995,274.200012,274.200012,1101000.0,2022-05-16,ALGN
219,279.959991,285.459991,273.98999,280.589996,280.589996,1190200.0,2022-05-17,ALGN
220,276.5,277.410004,267.309998,269.109985,269.109985,1321600.0,2022-05-18,ALGN
221,267.070007,278.799988,265.51001,273.890015,273.890015,782700.0,2022-05-19,ALGN
222,280.0,282.410004,267.01001,275.040009,275.040009,922900.0,2022-05-20,ALGN
223,278.459991,279.549988,266.049988,278.709991,278.709991,981700.0,2022-05-23,ALGN
224,273.170013,274.209991,265.01001,270.179993,270.179993,1194900.0,2022-05-24,ALGN
225,267.149994,281.480011,266.690002,276.570007,276.570007,908900.0,2022-05-25,ALGN
226,274.420013,279.149994,268.149994,274.829987,274.829987,983500.0,2022-05-26,ALGN
227,276.029999,284.570007,275.619995,284.570007,284.570007,953300.0,2022-05-27,ALGN
228,284.700012,286.399994,272.170013,277.640015,277.640015,1677900.0,2022-05-31,ALGN
229,281.070007,283.269989,263.480011,265.170013,265.170013,1106500.0,2022-06-01,ALGN
230,266.76001,287.049988,264.540009,284.869995,284.869995,1126600.0,2022-06-02,ALGN
231,278.660004,280.459991,272.850006,273.600006,273.600006,643200.0,2022-06-03,ALGN
232,280.869995,281.5,266.619995,269.01001,269.01001,829300.0,2022-06-06,ALGN
233,265.76001,275.75,265.76001,273.51001,273.51001,654200.0,2022-06-07,ALGN
234,275.420013,277.709991,272.320007,273.130005,273.130005,750900.0,2022-06-08,ALGN
235,268.720001,273.910004,262.130005,262.549988,262.549988,813600.0,2022-06-09,ALGN
236,257.399994,259.339996,251.630005,257.059998,257.059998,1547400.0,2022-06-10,ALGN
237,246.889999,251.970001,242.669998,244.009995,244.009995,1273100.0,2022-06-13,ALGN
238,245.029999,245.630005,235.550003,238.080002,238.080002,1011000.0,2022-06-14,ALGN
239,240.990005,249.529999,237.119995,243.779999,243.779999,1396100.0,2022-06-15,ALGN
240,235.589996,239.220001,228.350006,229.820007,229.820007,1506400.0,2022-06-16,ALGN
